id,kind,group,task,seed,cfg,steps,resolution,preprocess,status,validation_passed,wall_seconds,peak_allocated_gib,peak_reserved_gib,peak_nvml_gib,step_p50_seconds,step_p95_seconds,adapter_parameters,action,identity,clothing,background,anatomy,added_person,missing_person,wrong_person,reviewer,note
ADAPTER_INFER_1024_D0,adapter_infer,adapter_infer,D0,42,4.5,35,1024,letterbox,PASS,,48.75252806209028,17.224506855010986,18.189453125,19.35211181640625,,,,,,,,,,,,,
ADAPTER_INFER_1024_S0,adapter_infer,adapter_infer,S0,42,4.5,35,1024,letterbox,PASS,,49.15141387004405,17.224506855010986,18.189453125,19.35211181640625,,,,,,,,,,,,,
ADAPTER_INFER_512_D0,adapter_infer,adapter_infer,D0,42,4.5,35,512,letterbox,PASS,,21.285201787017286,14.201069355010986,14.798828125,15.96148681640625,,,,,,,,,,,,,
ADAPTER_INFER_512_S0,adapter_infer,adapter_infer,S0,42,4.5,35,512,letterbox,PASS,,21.28971134405583,14.201069355010986,14.798828125,15.96148681640625,,,,,,,,,,,,,
ADAPTER_INFER_768_D0,adapter_infer,adapter_infer,D0,42,4.5,35,768,letterbox,PASS,,29.996190048987046,15.460834980010986,16.2578125,17.42047119140625,,,,,,,,,,,,,
ADAPTER_INFER_768_S0,adapter_infer,adapter_infer,S0,42,4.5,35,768,letterbox,PASS,,30.007639263989404,15.460834980010986,16.2578125,17.42047119140625,,,,,,,,,,,,,
CACHE_1024_D0_8a671c3c47,cache,cache,D0,1701,,,1024,letterbox,PASS,,15.705955540994182,14.472139358520508,15.576171875,16.73883056640625,,,,,,,,,,,,,
CACHE_1024_S0_000719680b,cache,cache,S0,1701,,,1024,letterbox,PASS,,15.460776526946574,14.472475051879883,15.576171875,16.73883056640625,,,,,,,,,,,,,
CACHE_512_D0_63919f1449,cache,cache,D0,1701,,,512,letterbox,PASS,,14.779564780998044,13.190176963806152,13.72265625,14.88531494140625,,,,,,,,,,,,,
CACHE_512_S0_af269b4bea,cache,cache,S0,1701,,,512,letterbox,PASS,,14.846532687079161,13.190291404724121,13.72265625,14.88531494140625,,,,,,,,,,,,,
CACHE_768_D0_e2db68f9a0,cache,cache,D0,1701,,,768,letterbox,PASS,,16.202984606963582,13.716733932495117,14.517578125,15.68023681640625,,,,,,,,,,,,,
CACHE_768_S0_d9dc5936c3,cache,cache,S0,1701,,,768,letterbox,PASS,,15.436731363995932,13.717100143432617,14.517578125,15.68023681640625,,,,,,,,,,,,,
Q0_D0_1024_letterbox_35_4.5,quality,Q0,D0,1024,4.5,35,512,letterbox,PASS,,21.436918406980112,13.513941287994385,14.126953125,15.28961181640625,,,,1,1,1,1,1,False,False,False,Codex visual review; not a human benchmark,主要人物及室内布局大致保留，但面部、格纹线条和局部姿态明显重绘；不是严格保持原图。
Q0_D0_1024_stretch_35_4.5,quality,Q0,D0,1024,4.5,35,512,stretch,PASS,,20.885229117935523,13.513941287994385,14.126953125,15.28961181640625,,,,1,1,1,1,1,False,False,False,Codex visual review; not a human benchmark,主要人物及室内布局大致保留，但面部、格纹线条和局部姿态明显重绘；不是严格保持原图。
Q0_D0_42_letterbox_35_4.5,quality,Q0,D0,42,4.5,35,512,letterbox,PASS,,19.52785352396313,13.513941287994385,14.126953125,15.28961181640625,,,,1,1,1,1,1,False,False,False,Codex visual review; not a human benchmark,主要人物及室内布局大致保留，但面部、格纹线条和局部姿态明显重绘；不是严格保持原图。
Q0_D0_42_stretch_35_4.5,quality,Q0,D0,42,4.5,35,512,stretch,PASS,,19.555294770980254,13.513941287994385,14.126953125,15.28961181640625,,,,1,1,1,1,1,False,False,False,Codex visual review; not a human benchmark,主要人物及室内布局大致保留，但面部、格纹线条和局部姿态明显重绘；不是严格保持原图。
Q0_D1_1024_letterbox_35_4.5,quality,Q0,D1,1024,4.5,35,512,letterbox,PASS,,19.481296273996122,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,新增站立浅色上衣人物，原坐姿男子仍可见，未让指定人物起身交互。
Q0_D1_1024_stretch_35_4.5,quality,Q0,D1,1024,4.5,35,512,stretch,PASS,,21.47405224700924,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,生成了交互动作，但原坐姿男子仍存在，同时新增站立交互对象；不算指定人物交互成功。
Q0_D1_42_letterbox_35_4.5,quality,Q0,D1,42,4.5,35,512,letterbox,PASS,,20.849786192993633,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,原浅色图案上衣男子仍坐在左侧，新增另一浅色上衣男子握手；人物对应失败。
Q0_D1_42_stretch_35_4.5,quality,Q0,D1,42,4.5,35,512,stretch,PASS,,19.83076711394824,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,生成了交互动作，但原坐姿男子仍存在，同时新增站立交互对象；不算指定人物交互成功。
Q0_D2_1024_letterbox_35_4.5,quality,Q0,D2,1024,4.5,35,512,letterbox,PASS,,20.857389651006088,13.516796588897705,14.126953125,15.28961181640625,,,,1,0,0,1,1,False,False,False,Codex visual review; not a human benchmark,未观察到明确重复坐姿男子，但站立浅色上衣人物的面部、上衣图案和短裤均未保持，搭肩方向也不清楚；仅部分动作完成。
Q0_D2_1024_stretch_35_4.5,quality,Q0,D2,1024,4.5,35,512,stretch,PASS,,19.80311059206724,13.516796588897705,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,生成了交互动作，但原坐姿男子仍存在，同时新增站立交互对象；不算指定人物交互成功。
Q0_D2_42_letterbox_35_4.5,quality,Q0,D2,42,4.5,35,512,letterbox,PASS,,21.416461983928457,13.516796588897705,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,生成了交互动作，但原坐姿男子仍存在，同时新增站立交互对象；不算指定人物交互成功。
Q0_D2_42_stretch_35_4.5,quality,Q0,D2,42,4.5,35,512,stretch,PASS,,20.873366596060805,13.516796588897705,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,生成了交互动作，但原坐姿男子仍存在，同时新增站立交互对象；不算指定人物交互成功。
Q0_S0_1024_letterbox_35_4.5,quality,Q0,S0,1024,4.5,35,512,letterbox,PASS,,19.70400918798987,13.513941287994385,14.126953125,15.28961181640625,,,,1,,1,1,1,False,False,False,Codex visual review; not a human benchmark,保持不变任务仍改变屈膝程度、衣物细节与雪具；补边版本还生成了原灰色边界的内容。面部被墨镜遮挡，不确认身份。
Q0_S0_1024_stretch_35_4.5,quality,Q0,S0,1024,4.5,35,512,stretch,PASS,,19.675197553006,13.513941287994385,14.126953125,15.28961181640625,,,,1,,1,2,1,False,False,False,Codex visual review; not a human benchmark,保持不变任务仍改变屈膝程度、衣物细节与雪具；补边版本还生成了原灰色边界的内容。面部被墨镜遮挡，不确认身份。
Q0_S0_42_letterbox_35_4.5,quality,Q0,S0,42,4.5,35,512,letterbox,PASS,,19.505211560986936,13.513941287994385,14.126953125,15.28961181640625,,,,1,,1,1,1,False,False,False,Codex visual review; not a human benchmark,保持不变任务仍改变屈膝程度、衣物细节与雪具；补边版本还生成了原灰色边界的内容。面部被墨镜遮挡，不确认身份。
Q0_S0_42_stretch_35_4.5,quality,Q0,S0,42,4.5,35,512,stretch,PASS,,21.171309805009514,13.513941287994385,14.126953125,15.28961181640625,,,,1,,1,2,1,False,False,False,Codex visual review; not a human benchmark,保持不变任务仍改变屈膝程度、衣物细节与雪具；补边版本还生成了原灰色边界的内容。面部被墨镜遮挡，不确认身份。
Q0_S1_1024_letterbox_35_4.5,quality,Q0,S1,1024,4.5,35,512,letterbox,PASS,,19.43704043002799,13.513941287994385,14.126953125,15.28961181640625,,,,1,,1,2,1,False,False,False,Codex visual review; not a human benchmark,外套改蓝完成；部分白色拼接也被改蓝，超出了只修改红色面板的要求。墨镜保留，面部身份无法确认。
Q0_S1_1024_stretch_35_4.5,quality,Q0,S1,1024,4.5,35,512,stretch,PASS,,19.753544240957126,13.513941287994385,14.126953125,15.28961181640625,,,,1,,1,2,1,False,False,False,Codex visual review; not a human benchmark,外套改蓝完成；部分白色拼接也被改蓝，超出了只修改红色面板的要求。墨镜保留，面部身份无法确认。
Q0_S1_42_letterbox_35_4.5,quality,Q0,S1,42,4.5,35,512,letterbox,PASS,,19.53912610199768,13.513941287994385,14.126953125,15.28961181640625,,,,1,,1,2,1,False,False,False,Codex visual review; not a human benchmark,外套改蓝完成；部分白色拼接也被改蓝，超出了只修改红色面板的要求。墨镜保留，面部身份无法确认。
Q0_S1_42_stretch_35_4.5,quality,Q0,S1,42,4.5,35,512,stretch,PASS,,19.58176184108015,13.513941287994385,14.126953125,15.28961181640625,,,,2,,2,2,1,False,False,False,Codex visual review; not a human benchmark,外套改蓝完成；部分白色拼接也被改蓝，超出了只修改红色面板的要求。墨镜保留，面部身份无法确认。
Q0_S2_1024_letterbox_35_4.5,quality,Q0,S2,1024,4.5,35,512,letterbox,PASS,,19.50111797300633,13.513941287994385,14.126953125,15.28961181640625,,,,2,,2,2,1,False,False,False,Codex visual review; not a human benchmark,招手与配饰保持较好，雪具形状及脚下关系仍有变化；面部无法可靠判断身份。
Q0_S2_1024_stretch_35_4.5,quality,Q0,S2,1024,4.5,35,512,stretch,PASS,,19.56316901394166,13.513941287994385,14.126953125,15.28961181640625,,,,2,,2,2,1,False,False,False,Codex visual review; not a human benchmark,招手与墨镜/帽子保持较好；身体姿态和雪具仍有变化。面部身份无法可靠判断。
Q0_S2_42_letterbox_35_4.5,quality,Q0,S2,42,4.5,35,512,letterbox,PASS,,19.510210789041594,13.513941287994385,14.126953125,15.28961181640625,,,,2,,2,2,2,False,False,False,Codex visual review; not a human benchmark,招手动作完成，墨镜与帽子保留。面部较小且被遮挡，身份无法确认；滑雪杖发生变化。
Q0_S2_42_stretch_35_4.5,quality,Q0,S2,42,4.5,35,512,stretch,PASS,,19.828187083941884,13.513941287994385,14.126953125,15.28961181640625,,,,2,,2,2,1,False,False,False,Codex visual review; not a human benchmark,招手与墨镜/帽子保持较好；身体姿态和雪具仍有变化。面部身份无法可靠判断。
Q1_D1_1024_letterbox_35_4.5,quality,Q1,D1,1024,4.5,35,512,letterbox,PASS,,19.614806890953332,13.513941287994385,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,生成了交互动作，但原坐姿男子仍存在，同时新增站立交互对象；不算指定人物交互成功。
Q1_D1_42_letterbox_35_4.5,quality,Q1,D1,42,4.5,35,512,letterbox,PASS,,21.308874460984953,13.513941287994385,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,生成了交互动作，但原坐姿男子仍存在，同时新增站立交互对象；不算指定人物交互成功。
Q1_D2_1024_letterbox_35_4.5,quality,Q1,D2,1024,4.5,35,512,letterbox,PASS,,19.468259472982027,13.513941287994385,14.126953125,15.28961181640625,,,,1,0,0,1,1,True,False,True,Codex visual review; not a human benchmark,新增女性交互对象，原坐姿人物仍在；身份和交互对象未保持。
Q1_D2_42_letterbox_35_4.5,quality,Q1,D2,42,4.5,35,512,letterbox,PASS,,19.443275051075034,13.513941287994385,14.126953125,15.28961181640625,,,,1,0,0,1,1,True,False,True,Codex visual review; not a human benchmark,新增女性交互对象，原坐姿人物仍在；身份和交互对象未保持。
Q2_D1_1024_letterbox_35_2.5,quality,Q2,D1,1024,2.5,35,512,letterbox,PASS,,21.883712789043784,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,原浅色图案上衣男子仍坐在左侧，新增另一浅色上衣男子握手；人物对应失败。
Q2_D1_1024_letterbox_35_6.0,quality,Q2,D1,1024,6.0,35,512,letterbox,PASS,,19.761204309994355,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,2,True,False,True,Codex visual review; not a human benchmark,两名站立人物握手的肢体接触较自然，但原坐姿浅色上衣男子仍在，新增了站立人物；指定对象编辑失败。
Q2_D1_1024_letterbox_50_2.5,quality,Q2,D1,1024,2.5,50,512,letterbox,PASS,,21.57021546107717,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,原浅色图案上衣男子仍坐在左侧，新增另一浅色上衣男子握手；人物对应失败。
Q2_D1_1024_letterbox_50_4.5,quality,Q2,D1,1024,4.5,50,512,letterbox,PASS,,21.792042916989885,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,2,True,False,True,Codex visual review; not a human benchmark,两名站立人物握手的肢体接触较自然，但原坐姿浅色上衣男子仍在，新增了站立人物；指定对象编辑失败。
Q2_D1_1024_letterbox_50_6.0,quality,Q2,D1,1024,6.0,50,512,letterbox,PASS,,21.761726320022717,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,2,True,False,True,Codex visual review; not a human benchmark,两名站立人物握手的肢体接触较自然，但原坐姿浅色上衣男子仍在，新增了站立人物；指定对象编辑失败。
Q2_D1_42_letterbox_35_2.5,quality,Q2,D1,42,2.5,35,512,letterbox,PASS,,20.773951245006174,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,原浅色图案上衣男子仍坐在左侧，新增另一浅色上衣男子握手；人物对应失败。
Q2_D1_42_letterbox_35_6.0,quality,Q2,D1,42,6.0,35,512,letterbox,PASS,,19.83075357193593,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,2,True,False,True,Codex visual review; not a human benchmark,两名站立人物握手的肢体接触较自然，但原坐姿浅色上衣男子仍在，新增了站立人物；指定对象编辑失败。
Q2_D1_42_letterbox_50_2.5,quality,Q2,D1,42,2.5,50,512,letterbox,PASS,,21.57056447607465,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,1,True,False,True,Codex visual review; not a human benchmark,原浅色图案上衣男子仍坐在左侧，新增另一浅色上衣男子握手；人物对应失败。
Q2_D1_42_letterbox_50_4.5,quality,Q2,D1,42,4.5,50,512,letterbox,PASS,,21.70360313600395,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,2,True,False,True,Codex visual review; not a human benchmark,两名站立人物握手的肢体接触较自然，但原坐姿浅色上衣男子仍在，新增了站立人物；指定对象编辑失败。
Q2_D1_42_letterbox_50_6.0,quality,Q2,D1,42,6.0,50,512,letterbox,PASS,,21.818102555000223,13.51731538772583,14.126953125,15.28961181640625,,,,1,0,1,1,2,True,False,True,Codex visual review; not a human benchmark,两名站立人物握手的肢体接触较自然，但原坐姿浅色上衣男子仍在，新增了站立人物；指定对象编辑失败。
